Internship Opportunity,Discipline,Description,2024 Deadline,Application Link,Requirements,Stipend or Rate,Travel / Lodging / Meal Support,Notes,# of Students Placed from Skyline,Skyline College student placed,Contact Information,"COVID-Considerations (online, no longer offered because of covid)"
Stanford Linear Accelerator Laboratory,Multiple,"SLAC offers a variety of internship opportunities along with mentorship opportunities created to help you be successful in your career interests. Our internship programs are designed to provide you with stimulating, real-world research experiences. Project topics include, but are not limited to the following: Computer Science, Data Science, Mechanical, Electrical, Computer, and Controls Engineering, Materials Science, High Energy Density Science, Laser Physics, X-ray Physics, Accelerator Physics, Structural and Molecular Biology, Chemistry, Science Communication, Business Administration and more.","Jan 9th, 2024",https://careers.slac.stanford.edu/jobs-slac/educational-and-outreach-programs,,,,,,,,
Community College Internships (CCI) - Summer Session,All STEM,"The Community College Internships (CCI) program seeks to encourage community college students to enter technical careers relevant to the DOE mission by providing technical training experiences at the DOE laboratories. Selected students participate as interns appointed at one of 16 participating DOE laboratories. They work on technologies or instrumentation projects or major research facilities supporting DOE’s mission, under the guidance of laboratory staff scientists or engineers.",Application OPEN Deadline: TBD,https://science.osti.gov/wdts/cci/,,,,,,,,
University of Washington,Neural Engineering,"This program provides undergraduate students with opportunities to work on research projects with scientists and to take part in workshop training sessions in ethics, communications, and scientific presentation skills designed to provide the undergraduate scientist with a solid foundation for graduate study. Undergraduates will help with research in one of the labs at the UW.","Jan 15th, 2024",http://csne-erc.org/content/research-experience-undergraduates,"18 yrs or older, US citizen/permanent resident, devote 40hrs/week,","$5,500",Free housing & travel,,,,,
REU-Blinks Summer Internship Program,Biology and Ecology,"The experience will expose interns to the life and work of a marine science research laboratory. The program will incorporate workshops, seminars and training sessions in addition to hands-on research.",TBD,https://fhl.uw.edu/research/summer-research-internships/,The NSF REU Site grant supports U.S. citizens or permanent residents during their undergraduate careers.,stipend ($500/week),"room, board and round trip travel",In keeping with UW policy of encouraging diversity in its student body including underrepresented groups.,,,,
Astrophysics and Planetary Science Research at Cornell University,Astrophysics,Research Assistantships to join a vibrant research community at Cornell's Department of Astronomy and the Cornell Center for Astrophysics and Planetary Science.,TBD,https://experience.cornell.edu/opportunities/astrophysics-and-planetary-science-research-cornell-university,United States citizens or permanent residents who have completed 1 to 3 years of undergraduate academic training by June 2021 and who will graduate at or after the end of the 2021 fall semester or quarter at their school are eligible.,,,,,,,
Summer Health Professions Education Program (SHPEP),Health Sciences,The Summer Health Professions Education Program (SHPEP) is a free summer enrichment program focused on improving access to information and resources for college students interested in the health professions. SHPEP’s goal is to strengthen the academic proficiency and career development of students underrepresented in the health professions and prepare them for a successful application and matriculation to health professions schools,"Feb 5th, 2024

11:59 PM EST",http://www.shpep.org,"2.5 GPA (US Citizen, Permanent Resident or DACA students. Must not have previously participated in the program",,,,,,,
Problem-based Initiatives for Powerful Engagement and Learning In Naval Engineering and Science (PIPELINES) @ UC Santa Barbara,Multiple,"The Problem-based Initiatives for Powerful Engagement and Learning In Naval Engineering and Science (PIPELINES) program is an exciting opportunity for science and engineering undergraduates to participate in an 8-week immersive experience, where teams of students compete in finding the most innovative and effective design solutions to real-world Naval engineering and science design project","Nov 1st, 2023", https://www.navalsteminterns.us/nreip/,"Full-time student. Over 18 years of age by start of program and not enrolled in high school at the time of application. U.S. citizen. Majoring or intends to major in science, engineering or mathematics.Completed a minimum of 12 transferrable semester units in science, mathematics, and/or engineering courses.","$4,000",,,,,,
Monterey Bay Aquarium Research Institute,Multiple,"Summer interns are responsible for further developing a project (in conjunction with their sponsor) which can be completed in the 10-week period of the internship, and for carrying the project to completion. The primary purpose of the intern program is for the specific educational benefit of the intern, and to make a contribution to the general good of the oceanographic community. If publications results from this collaboration, the authorship should be a joint authorship (including both the intern and the mentor).",OPENS late November. Deadline TBD,https://www.mbari.org/about/careers/internships/,Open to undergraduate and graduate students and educators. The program is open to international participants but you will be required to obtain a valid work visa for the US and MBARI cannot be a sponsor for this visa.,$17 an hour,Partial travel support may be available. Housing cost not included,,,,,
City and County of San Francisco,"Engineering, Architecture, Planning, Computer Science/Information Services","The City and County of San Francisco is seeking student interns for various engineering and architecture disciplines, to provide support to in-house Engineering · Architecture · Landscape Architecture · Planning · Surveying · GIS · IT staff. The City Departments that employ interns are the Airport Commission (SFO), Department of Building Inspection (DBI), Department of Technology (DT), Municipal Transportation Agency (MTA), Port of San Francisco (Port), San Francisco Public Utilities Commission (SFPUC), Public Works, and Recreation and Park Department (RPD). Interns will gain on-the-job experience under the guidance of experienced professional engineers, architects, planners and surveyors. Interns will participate in various activities in the respective City Departments.",TBD,https://www.sfstudentintern.org/,,$33.275 per hour,,,,,,
Physics Research Experiences @ UC Davis,Physics,"The NSF-funded Research Experiences for Undergraduates program in the UC Davis Physics Department will continue in summer 2020. During the 10-week program students work alongside our faculty and graduate students on ongoing research projects, providing a view of physics very different from typical coursework. The program strongly encourages interactions among participants, for example through field trips and shared housing.",TBD,https://london.physics.ucdavis.edu/~reu/application.html,Students must be U.S. citizens or permanent residents to receive funding from our main grant from the U.S. National Science Foundation. College students from two-year or four-year institutions may apply. All participants must be continuing their college education in Fall 2020. Strong preference is given to students who have completed at least one year of calculus-based introductory physics.,$500/week,,,,,,
